Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",GDP (current US$) [NY.GDP.MKTP.CD],Male & Female Obesity Rate,Region,,,,
2016,YR2016,Sao Tome and Principe,STP,109.7314224,13.9,66.563,292267272.2,12.05,Sub-Saharan Africa,,,,
2016,YR2016,Saudi Arabia,SAU,1353.21814,6.9,78.354,6.89279E+11,36.55,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Senegal,SEN,53.90053558,36.9,66.724,19040312333,8.45,Sub-Saharan Africa,,,,
2016,YR2016,Serbia,SRB,486.4294434,5.2,75.68780488,42225495910,21.45,Europe & Central Asia,,,,
2016,YR2016,Seychelles,SYC,673.196228,13.3,74.3097561,1568513348,14.05,Sub-Saharan Africa,,,,
2016,YR2016,Sierra Leone,SLE,84.6361618,71.3,56.937,6084297211,8.55,Sub-Saharan Africa,,,,
2016,YR2016,Singapore,SGP,2488.282959,2.2,82.84634146,3.19646E+11,6.05,East Asia & Pacific,,,,
2016,YR2016,Sint Maarten (Dutch part),SXM,..,..,75.952,1427017207,..,Latin America & Caribbean,,,,
2016,YR2016,Slovak Republic,SVK,1175.627075,5.1,77.16585366,90347173229,20.45,Europe & Central Asia,,,,
2016,YR2016,Slovenia,SVN,1838.654053,2.1,81.17560976,44290685824,20.2,Europe & Central Asia,,,,
2016,YR2016,Solomon Islands,SLB,94.32994843,19.4,69.501,1379490304,22.5,East Asia & Pacific,,,,
2016,YR2016,Somalia,SOM,11.72021103,82,55.283,6613743070,8.1,Sub-Saharan Africa,,,,
2016,YR2016,South Africa,ZAF,456.5693665,28.4,64.749,3.23586E+11,27.5,Sub-Saharan Africa,,,,
2016,YR2016,South Sudan,SSD,..,164.1,36.72,..,..,Sub-Saharan Africa,,,,
2016,YR2016,Spain,ESP,2377.049561,2.7,83.32926829,1.24302E+12,23.7,Europe & Central Asia,,,,
2016,YR2016,Sri Lanka,LKA,145.3249664,7,76.136,88000211172,5.1,South Asia,,,,
2016,YR2016,St. Kitts and Nevis,KNA,1161.870972,16.7,71.227,1006818519,22.7,Latin America & Caribbean,,,,
2016,YR2016,St. Lucia,LCA,472.4305115,15.5,72.552,1868544444,19.5,Latin America & Caribbean,,,,
2016,YR2016,St. Martin (French part),MAF,..,..,79.885,..,..,Latin America & Caribbean,,,,
2016,YR2016,St. Vincent and the Grenadines,VCT,313.6622925,14.5,70.7,814303703.7,23.8,Latin America & Caribbean,,,,
2016,YR2016,Sudan,SDN,89.39611053,47.8,64.677,42630376000,..,Sub-Saharan Africa,,,,
2016,YR2016,Suriname,SUR,338.24823,18.6,70.979,3317421648,26.3,Latin America & Caribbean,,,,
2016,YR2016,Sweden,SWE,5680.726074,2.3,82.30731707,5.14218E+11,20.6,Europe & Central Asia,,,,
2016,YR2016,Switzerland,CHE,9276.50293,3.7,83.60243902,6.87895E+11,19.55,Europe & Central Asia,,,,
2016,YR2016,Syrian Arab Republic,SYR,25.93214798,23.9,65.19,12597854877,27.85,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Tajikistan,TJK,54.9213562,24.1,69.982,6992416097,14.15,Europe & Central Asia,,,,
2016,YR2016,Tanzania,TZA,36.65267563,39.5,64.404,49774409374,8.35,Sub-Saharan Africa,,,,
2016,YR2016,Thailand,THA,229.7849884,10,76.769,4.13366E+11,9.85,East Asia & Pacific,,,,
2016,YR2016,Timor-Leste,TLS,92.69400787,42.6,65.61,1640464600,3.75,East Asia & Pacific,,,,
2016,YR2016,Togo,TGO,50.64896011,44,59.669,6071170959,8.2,Sub-Saharan Africa,,,,
2016,YR2016,Tonga,TON,202.9631195,9.4,71.951,420828254.5,47.95,East Asia & Pacific,,,,
2016,YR2016,Trinidad and Tobago,TTO,1064.417725,20.1,72.935,23624333664,18.4,Latin America & Caribbean,,,,
2016,YR2016,Tunisia,TUN,240.4025879,15.8,75.007,44360072680,26.7,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,Turkiye,TUR,456.3659668,10.4,76.595,8.69683E+11,31.8,Europe & Central Asia,,,,
2016,YR2016,Turkmenistan,TKM,376.6556702,34,69.142,36169428571,18.4,Europe & Central Asia,,,,
2016,YR2016,Turks and Caicos Islands,TCA,..,4.8,77.437,1032452000,..,Latin America & Caribbean,,,,
2016,YR2016,Tuvalu,TUV,697.9013672,21.5,65.51,41629064.22,51.6,East Asia & Pacific,,,,
2016,YR2016,Uganda,UGA,39.08125305,36.4,64.494,29203988696,5.2,Sub-Saharan Africa,,,,
2016,YR2016,Ukraine,UKR,154.5546875,8.9,73.389,93355869404,23.85,Europe & Central Asia,,,,
2016,YR2016,United Arab Emirates,ARE,1592.919067,5.8,82.195,3.69255E+11,34.25,"Middle East, North Africa, Afghanistan & Pakistan",,,,
2016,YR2016,United Kingdom,GBR,4016.63916,3.8,81.15609756,2.68911E+12,27.75,Europe & Central Asia,,,,
2016,YR2016,United States,USA,9536.206055,5.7,78.53902439,1.88049E+13,36.25,North America,,,,
